id,product_id,size,price,description
15783,2742,"9 (31"")",£34.99,
15784,2742,"10 (32"")",£34.99,
15785,2743,Choose Options,£69.99,
15786,2743,"0 (22"")",£69.99,
15787,2743,"1 (23"")",£69.99,
15788,2743,"2 (24"")",£69.99,
15789,2743,"3 (25"")",£69.99,
15790,2743,"4 (26"")",£69.99,
15791,2743,"5 (27"")",£69.99,
15792,2743,"6 (28"")",£69.99,
15793,2743,"7 (29"")",£69.99,
15794,2743,"8 (30"")",£69.99,
15795,2743,"9 (31"")",£69.99,
15796,2743,"10 (32"")",£69.99,
15797,2744,Choose Options,£69.99,
15798,2744,"0 (22"")",£69.99,
15799,2744,"1 (23"")",£69.99,
15800,2744,"2 (24"")",£69.99,
15801,2744,"3 (25"")",£69.99,
15802,2744,"4 (26"")",£69.99,
15803,2744,"5 (27"")",£69.99,
15804,2744,"6 (28"")",£69.99,
15805,2744,"7 (29"")",£69.99,
15806,2744,"8 (30"")",£69.99,
15807,2744,"9 (31"")",£69.99,
15808,2744,"10 (32"")",£69.99,
15809,2745,Choose Options,£36.00,
15810,2745,Round Neck,£36.00,
15811,2745,V - Neck,£36.00,
15812,2745,1 of each,£36.00,
15813,2746,Choose Options,£8.29,
15814,2746,6 (Childrens),£8.29,
15815,2746,7 (Childrens),£8.29,
15816,2746,8 (Childrens),£8.29,
15817,2746,9 (Childrens),£8.29,
15818,2746,10 (Childrens),£8.29,
15819,2746,11 (Childrens),£8.29,
15820,2746,12 (Childrens),£8.29,
15821,2746,13 (Childrens),£8.29,
15822,2746,1,£8.29,
15823,2746,2,£8.29,
15824,2746,3,£8.29,
15825,2746,4,£8.89,
15826,2746,5,£8.89,
15827,2746,6,£8.89,
15828,2746,7,£9.99,
15829,2747,Choose Options,£69.00,
15830,2747,Reversible Fleece Lined Jacket,£69.00,
15831,2747,Soft Shell Jacket,£69.00,
15832,2748,Choose Options,£48.00,
15833,2748,Hooded Zippers,£48.00,
15834,2748,Hooded Pullovers,£48.00,
